Table  Player                          Opponent                        Points
-------------------------------------------------------------------------------
5      Adipto Sengupta                 Nathan C                       3-6   
14     Alexander Gimmi                 Jarrod Haase                   6-3   
       Amber Cronin                    ***Bye***                       6     
12     Amy Altman                      Etai Kurtzman                   6-3   
22     Anthony Wilkinson               tyler kaldenberg                3-0   
6      Austin Wolf                     Brian Kennes                    3-6   
1      Avi Lessure                     Luke Deratzou                   3-6   
3      Becca Blackwood                 Mike Laing                      6-3   
8      Benjamin Wakefield              Veronica Kirtley                6-3   
9      Bradley Skubic                  Isharah Considine              6-3   
6      Brian Kennes                    Austin Wolf                     6-3   
29     Cameron Riley                   Colin Hogan                     3-0   
29     Colin Hogan                     Cameron Riley                   0-3   
20     Dani Masom                      Sean Marks                      3-0   
27     Daniel Hernandez                Danielle Lucibello              3-0   
27     Danielle Lucibello              Daniel Hernandez                0-3   
4      David Van Hise                  Jack Henry                      3-6   
21     Elias Medrano                   Joel Brook                     0-3   
12     Etai Kurtzman                   Amy Altman                      3-6   
26     Evan Johnstone                  Jonathon Streker                0-3   
28     Gina Millott                    Philip Petronis                 0-3   
13     Graham Bateman                 Stan Kornacki                   3-6   
19     Hex Dowd                        Mike Adams                      0-3   
2      Ian Marcellana                  Joseph Chung                    6-3   
9      Isharah Considine              Bradley Skubic                  3-6   
4      Jack Henry                      David Van Hise                  6-3   
14     Jarrod Haase                   Alexander Gimmi                 3-6   
21     Joel Brook                     Elias Medrano                   3-0   
15     John Larochelle                Michael Stopa                   6-3   
25     John Petrella                   Ryan MacDonald                  0-3   
26     Jonathon Streker                Evan Johnstone                  3-0   
2      Joseph Chung                    Ian Marcellana                  3-6   
16     Logan Hesch                     Phil iwanow                     3-0   
1      Luke Deratzou                   Avi Lessure                     6-3   
18     Markis Galea                    Sam White                       0-3   
23     Matt Rosenbloom                 Reya Truher                     0-3   
24     Matt Suyer                      Ran Guo                         3-0   
11     mavin liu                       Timothy Haase                   6-3   
15     Michael Stopa                   John Larochelle                3-6   
19     Mike Adams                      Hex Dowd                        3-0   
3      Mike Laing                      Becca Blackwood                 3-6   
10     Milo Brown                      Tim Lawson                      6-3   
5      Nathan C                       Adipto Sengupta                 6-3   
17     Nathan Cormier                  Terry Eleftherakis              3-0   
16     Phil iwanow                     Logan Hesch                     0-3   
28     Philip Petronis                 Gina Millott                    3-0   
24     Ran Guo                         Matt Suyer                      0-3   
7      Raul Bottrell-Rogers            Stella Burfeind                 3-6   
23     Reya Truher                     Matt Rosenbloom                 3-0   
25     Ryan MacDonald                  John Petrella                   3-0   
18     Sam White                       Markis Galea                    3-0   
20     Sean Marks                      Dani Masom                      0-3   
13     Stan Kornacki                   Graham Bateman                 6-3   
7      Stella Burfeind                 Raul Bottrell-Rogers            6-3   
17     Terry Eleftherakis              Nathan Cormier                  0-3   
10     Tim Lawson                      Milo Brown                      3-6   
11     Timothy Haase                   mavin liu                       3-6   
22     tyler kaldenberg                Anthony Wilkinson               0-3   
8      Veronica Kirtley                Benjamin Wakefield              3-6   

EventLink - Copyright © 2025 - Wizards of the Coast LLC
